City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Buraydah,SA,2021-12-21 05:25:00,26.326,43.975,54.05,34,28,14.41
68,Krasnoselkup,RU,2021-12-21 05:25:00,65.7,82.4667,-25.1,89,23,9.13
69,Klaksvik,FO,2021-12-21 05:25:01,62.2266,-6.589,40.12,77,98,13.69
70,Franklin Park,US,2021-12-21 05:25:01,41.9353,-87.8656,32.05,80,20,3.44
71,Saint-Philippe,RE,2021-12-21 05:25:02,-21.3585,55.7679,82.47,84,87,9.33
72,Jatai,BR,2021-12-21 05:25:02,-17.8814,-51.7144,69.67,88,72,1.61
73,Kismayo,SO,2021-12-21 05:25:03,-0.3582,42.5454,83.34,73,75,13.76
74,Fort Nelson,CA,2021-12-21 05:25:03,58.8053,-122.7002,-4.41,77,75,2.3
75,Guerrero Negro,MX,2021-12-21 05:25:04,27.9769,-114.0611,61.68,55,28,6.98
76,High Level,CA,2021-12-21 05:25:04,58.5169,-117.136,-2.09,92,90,3.44
77,Yellowknife,CA,2021-12-21 05:25:05,62.456,-114.3525,-34.08,67,1,5.75
78,Atuona,PF,2021-12-21 05:25:05,-9.8,-139.0333,78.19,74,11,10.29
79,Cape Town,ZA,2021-12-21 05:21:01,-33.9258,18.4232,75.11,74,0,1.01
80,Tuktoyaktuk,CA,2021-12-21 05:25:06,69.4541,-133.0374,-2.2,78,90,6.91
81,Khatanga,RU,2021-12-21 05:25:06,71.9667,102.5,-17.66,97,98,10.31
82,Hobart,AU,2021-12-21 05:22:00,-42.8794,147.3294,68.11,40,40,5.01
83,Minturno,IT,2021-12-21 05:25:07,41.2576,13.7237,55.62,73,9,1.01
84,Sitka,US,2021-12-21 05:25:07,57.0531,-135.33,35.49,80,90,3.44
85,Salinas,US,2021-12-21 05:20:59,36.6777,-121.6555,51.89,77,1,13.8
86,Bambous Virieux,MU,2021-12-21 05:25:08,-20.3428,57.7575,83.21,74,75,6.91
87,Baruun-Urt,MN,2021-12-21 05:25:08,46.6806,113.2792,10.54,62,80,1.48
88,Huarmey,PE,2021-12-21 05:26:09,-10.0681,-78.1522,68.09,83,7,7.25
89,Bredasdorp,ZA,2021-12-21 05:26:09,-34.5322,20.0403,67.28,94,99,10.36
90,Lasa,IT,2021-12-21 05:26:10,46.6166,10.7002,31.46,41,15,2.37
91,Montepuez,MZ,2021-12-21 05:26:11,-13.1256,38.9997,75.54,78,88,4.9
92,Codrington,AU,2021-12-21 05:26:11,-38.2667,141.9667,70.32,52,94,18.66
93,Jamestown,US,2021-12-21 05:26:11,42.097,-79.2353,36.99,73,1,8.01
94,Paragominas,BR,2021-12-21 05:26:12,-2.9667,-47.4833,72.81,94,100,1.88
95,Kruisfontein,ZA,2021-12-21 05:26:12,-34.0033,24.7314,69.89,78,79,11.12
96,Santa Vitoria Do Palmar,BR,2021-12-21 05:26:13,-33.5189,-53.3681,65.41,91,0,6.26
97,Mayya,RU,2021-12-21 05:26:13,61.7333,130.2811,-53.28,99,82,0.31
98,Puerto Ayora,EC,2021-12-21 05:26:14,-0.7393,-90.3518,68.56,96,46,6.46
99,Lavrentiya,RU,2021-12-21 05:26:14,65.5833,-171.0,-4.81,69,0,12.57
100,Kaitangata,NZ,2021-12-21 05:26:14,-46.2817,169.8464,67.93,43,25,15.08
101,Narsaq,GL,2021-12-21 05:26:15,60.9167,-46.05,48.42,53,87,27.89
102,Hobyo,SO,2021-12-21 05:26:15,5.3505,48.5268,79.3,71,100,22.03
103,Rio Grande,BR,2021-12-21 05:26:16,-32.035,-52.0986,68.95,83,3,8.63
104,Severnoye,RU,2021-12-21 05:26:16,56.3491,78.3619,2.91,98,85,4.61
105,Pizarro,CO,2021-12-21 05:26:17,4.9533,-77.366,75.31,91,100,1.16
106,Hirara,JP,2021-12-21 05:26:17,24.8,125.2833,73.26,68,75,14.97
107,Tura,IN,2021-12-21 05:26:17,25.5198,90.2201,72.81,42,1,2.35
108,Union,US,2021-12-21 05:25:02,40.6334,-74.2663,35.92,70,1,0.0
109,Leh,IN,2021-12-21 05:26:18,34.1667,77.5833,14.23,76,98,1.01
110,Mount Gambier,AU,2021-12-21 05:26:19,-37.8333,140.7667,69.71,56,40,16.11
111,Pemba,MZ,2021-12-21 05:26:19,-12.974,40.5178,83.1,83,75,5.75
112,Maniitsoq,GL,2021-12-21 05:26:19,65.4167,-52.9,39.67,60,60,19.51
113,Sibu,MY,2021-12-21 05:26:20,2.3,111.8167,89.91,66,40,3.44
114,Veisiejai,LT,2021-12-21 05:26:20,54.1,23.7,15.89,71,28,9.55
115,Georgetown,MY,2021-12-21 05:26:21,5.4112,100.3354,82.35,88,40,1.01
116,Tarko-Sale,RU,2021-12-21 05:26:21,64.9225,77.785,-15.05,83,100,15.41
117,Pak Phanang,TH,2021-12-21 05:26:21,8.3511,100.202,84.22,83,100,8.41
118,Kamina,CD,2021-12-21 05:26:22,-8.7386,24.9906,66.51,95,100,2.39
119,Lorengau,PG,2021-12-21 05:26:22,-2.0226,147.2712,84.04,72,82,3.98
120,Ouadda,CF,2021-12-21 05:26:23,8.0777,22.4007,70.38,26,56,8.34
121,Xining,CN,2021-12-21 05:26:23,36.6167,101.7667,31.32,18,0,2.28
122,Noumea,NC,2021-12-21 05:26:24,-22.2763,166.4572,84.18,83,59,11.77
123,Kodiak,US,2021-12-21 05:24:40,57.79,-152.4072,38.88,86,99,7.65
124,Komsomolskiy,UZ,2021-12-21 05:26:24,40.4272,71.7189,39.92,75,0,2.3
125,Port Shepstone,ZA,2021-12-21 05:26:25,-30.7414,30.455,71.11,85,83,13.18
126,Bengkulu,ID,2021-12-21 05:26:25,-3.8004,102.2655,79.61,82,100,2.64
127,Nuuk,GL,2021-12-21 05:26:26,64.1835,-51.7216,48.81,37,70,20.71
128,Tekkali,IN,2021-12-21 05:26:26,18.6167,84.2333,71.55,40,0,1.77
129,Norman Wells,CA,2021-12-21 05:26:27,65.282,-126.8329,23.09,93,100,15.79
130,Meridian,US,2021-12-21 05:21:58,43.6121,-116.3915,36.45,90,1,1.01
131,Jacareacanga,BR,2021-12-21 05:26:28,-6.2222,-57.7528,73.29,99,100,2.04
132,Mortka,RU,2021-12-21 05:26:28,59.3322,66.0214,17.01,96,100,5.7
133,Grand Gaube,MU,2021-12-21 05:26:29,-20.0064,57.6608,83.37,66,20,7.0
134,Beidao,CN,2021-12-21 05:26:29,34.5686,105.8933,49.5,32,0,0.54
135,Alenquer,BR,2021-12-21 05:27:30,-1.9417,-54.7383,77.34,92,99,2.98
136,Samarai,PG,2021-12-21 05:27:30,-10.6167,150.6667,82.96,71,96,3.78
137,Karratha,AU,2021-12-21 05:27:31,-20.7377,116.8463,94.12,43,41,13.27
138,Kaeo,NZ,2021-12-21 05:27:31,-35.1,173.7833,73.33,75,100,7.63
139,Kurilsk,RU,2021-12-21 05:27:31,45.2333,147.8833,32.76,71,100,16.24
140,Provideniya,RU,2021-12-21 05:27:32,64.3833,-173.3,-1.89,87,2,8.03
141,Ippy,CF,2021-12-21 05:27:32,6.2679,21.2247,71.06,40,85,4.32
142,Byron Bay,AU,2021-12-21 05:27:33,-28.65,153.6167,95.11,63,81,14.83
143,Vardo,NO,2021-12-21 05:27:33,70.3705,31.1107,23.2,60,100,13.78
144,Bunbury,AU,2021-12-21 05:27:34,-33.3333,115.6333,79.34,48,0,15.7
145,Buchanan,LR,2021-12-21 05:27:34,5.8808,-10.0467,75.9,91,18,5.35
146,Sisimiut,GL,2021-12-21 05:27:35,66.9395,-53.6735,39.04,56,60,19.35
147,Ha Tinh,VN,2021-12-21 05:27:35,18.3333,105.9,71.58,59,52,5.19
148,Arraial Do Cabo,BR,2021-12-21 05:27:36,-22.9661,-42.0278,73.49,77,41,16.28
149,Vao,NC,2021-12-21 05:27:36,-22.6667,167.4833,76.93,84,17,15.1
150,Batticaloa,LK,2021-12-21 05:27:37,7.7102,81.6924,80.94,77,31,12.3
151,Makambako,TZ,2021-12-21 05:27:37,-8.8453,34.823,63.95,80,56,9.64
152,Isangel,VU,2021-12-21 05:27:38,-19.55,169.2667,87.91,74,75,5.75
153,Cape Canaveral,US,2021-12-21 05:27:38,28.4058,-80.6048,73.98,92,90,9.22
154,North Vernon,US,2021-12-21 05:27:39,39.0062,-85.6236,29.95,87,26,1.72
155,Srednekolymsk,RU,2021-12-21 05:27:39,67.45,153.6833,-14.93,96,100,15.59
156,Anuchino,RU,2021-12-21 05:27:39,43.9622,133.0544,11.19,66,10,13.78
157,Comodoro Rivadavia,AR,2021-12-21 05:27:40,-45.8667,-67.5,71.46,15,0,11.5
